m3a	m2a	angles_b_a	angles_j1_a	angles_j2_a	m3b	m2b	angles_b_b	angles_j1_b	angles_j2_b	missing_pT
198.610272	142.403462	1.229974	2.753205	2.256681	247.057668	217.121660	0.112115	2.275075	2.805801	174.178141
648.927730	424.271344	0.523772	2.463082	2.948391	348.642857	197.746087	0.120137	0.637420	1.719134	1081.056403
210.338566	95.761436	1.602486	2.680301	2.152836	194.981280	63.362897	0.467173	2.309562	1.203436	92.203344
204.079172	136.476872	1.800763	1.532939	1.724216	187.885978	103.158811	3.007964	0.082044	1.576662	80.423685
259.501811	156.792985	2.454720	1.326041	0.184459	290.310474	64.856323	1.061954	2.696844	2.682921	48.240598
134.955342	62.398728	2.411479	2.252530	1.688952	184.975329	117.948794	0.227909	1.537917	0.182225	186.178280
567.323442	541.278701	2.492361	2.709249	2.619214	257.008722	177.712715	1.201746	0.215473	0.792559	181.358511
374.850345	291.822304	0.129479	2.493870	2.573095	170.503618	53.650930	0.863979	1.703662	2.630689	462.744408
282.547487	207.257233	2.239696	3.028055	2.653704	76.922737	29.158530	2.037750	0.716267	0.097790	396.344296
269.100497	175.732816	0.894188	2.956148	2.548119	177.086297	77.532172	0.345697	1.618157	2.462214	478.063559
1857.636812	1801.738655	0.468034	1.629666	2.995668	132.464338	39.293778	0.611867	1.226126	0.734766	469.981810
375.208550	235.664562	2.122460	0.585414	1.491903	220.428484	54.048620	3.046348	1.624473	1.200600	192.960823
831.400562	466.872154	0.467351	2.401010	1.999058	547.964445	151.681877	1.011737	3.016806	2.057897	200.950922
157.036672	76.832030	0.063442	2.243160	2.911092	118.814681	52.451781	2.665896	1.850131	1.076084	369.638441
1610.970615	1502.625603	2.987182	1.203048	1.082884	227.796491	71.490238	0.843598	2.245578	2.245528	218.733624
345.640920	158.482088	2.753727	1.902778	2.201118	255.520436	187.754194	1.768657	2.441637	1.530223	203.005477
433.523222	389.194054	0.583831	3.008025	2.204368	123.091140	82.377289	1.361897	0.833171	0.095959	143.518075
344.156311	133.737474	2.417159	2.708614	3.004065	365.594235	93.511739	0.213451	1.528216	0.084558	493.882228
373.549654	232.104644	2.277845	2.515202	2.583609	529.172754	137.736896	0.502109	1.324696	0.260088	340.883376
162.050083	94.222684	2.734988	0.359278	1.318459	580.233218	158.304786	2.659533	1.662474	0.592704	261.535851
214.050234	57.419171	1.798913	0.662147	0.765404	262.235752	58.370542	2.854095	2.703075	2.297002	157.219991
452.965565	363.816622	0.508326	1.179314	1.750406	208.320105	132.847138	0.580147	2.882147	1.949136	72.100251
252.678478	53.042607	1.511969	2.936261	2.928389	202.698869	87.178428	0.646772	0.949714	0.223773	171.676261
149.138084	36.471407	3.087514	3.137197	2.789087	147.855843	119.899936	2.227990	0.078862	0.266632	563.118716
425.494248	115.591384	1.533153	0.296598	0.363451	319.830080	108.894538	2.838355	2.179065	2.991099	122.478476
588.418305	405.290998	1.181887	2.090904	1.594419	317.695439	49.235617	1.861906	0.465216	1.357319	269.215938
365.011068	217.060953	3.038723	1.950652	2.352962	443.536729	324.786911	1.202674	1.870942	1.056743	151.417672
